"Numéro","Nom","Rang","Bac","","Bulletins","L. Motiv.","Libre","Limite","Ent. FA","Remarque","","EVALN"
"1006149","#REF!","977/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0","0","","","","",""
"1013902","#REF!","519/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0","0","","","","",""
"1018930","#REF!","974/1724","  Scientifique Pas de spécialité (S.I)"," ","0","0","0","","","","",""
"1021849","#REF!","930/1724","  Scientifique Pas de spécialité (S.I)"," ","-1","-1","0","","","","",""
"1062746","#REF!","923/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0","0.5","","","","",""
"1073979","#REF!","950/1724","  Scientifique Pas de spécialité (S.I)"," ","-0.5","0","-0.5","","","","",""
"1077738","#REF!","917/1724","  Scientifique Pas de spécialité (S.I)"," ","0","0.5","-0.5","","","","",""
"1084399","#REF!","958/1724","  Scientifique Pas de spécialité (S.I)"," ","0","0.5","0","x","","","",""
"1089382","#REF!","440/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0","0.5","","","","",""
"1089552","#REF!","764/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0.5","0","","","","",""
"1146073","#REF!","646/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0.5","0.5","","","","",""
"1164214","#REF!","969/1724","  Scientifique Pas de spécialité (S.I)"," ","0","1","0","","","","",""
"1190577","#REF!","952/1724","  Scientifique Pas de spécialité (S.I)"," ","0","0.5","0","","","","",""
"1199581","#REF!","612/1724","  Scientifique Pas de spécialité (S.I)"," ","0.5","0","0.5","","","","",""
"1002140","#REF!","758/1724","  Scientifique Physique-chimie"," ","0.5","0.5","0.5","","","","",""
"1010042","#REF!","667/1724","  Scientifique Physique-chimie"," ","0","0","0","","","","",""
"1021338","#REF!","820/1724","  Scientifique Physique-chimie"," ","-0.5","0","0","","","","",""
"1051308","#REF!","720/1724","  Scientifique Physique-chimie"," ","-1.5","-1","0","","","","",""
"1071009","#REF!","920/1724","  Scientifique Physique-chimie"," ","-1.5","1","0","","","","",""
"1073801","#REF!","571/1724","  Scientifique Physique-chimie"," ","0.5","-0.5","0","","","","",""
"1078292","#REF!","726/1724","  Scientifique Physique-chimie"," ","0.5","-0.5","0","","","","",""
"1088458","#REF!","707/1724","  Scientifique Physique-chimie"," ","0.5","-0.5","0","","","","",""
